TimeStamp, Time Delta, Input Current, Output Voltage 
0, 0.9669022560119629, 4.9978, 3.940784, 
0, 0.9558353424072266, 4.9978, 3.940842, 
0, 0.9556457996368408, 4.9978, 3.940887, 
0, 0.9839320182800293, 4.9978, 3.940931, 
0, 0.9849779605865479, 4.9978, 3.940976, 
0, 0.9674196243286133, 4.9978, 3.941035, 
0, 0.9662892818450928, 4.9978, 3.941094, 
0, 0.9558992385864258, 4.9978, 3.941139, 
0, 0.9845798015594482, 4.9978, 3.941183, 
0, 0.9654209613800049, 4.9978, 3.941227, 
0, 0.9850993156433105, 4.9978, 3.941272, 
0, 0.9707159996032715, 4.9978, 3.941331, 
0, 0.9688873291015625, 4.9978, 3.94136, 
0, 0.9673731327056885, 4.9978, 3.941434, 
0, 0.9679253101348877, 4.9978, 3.941479, 
0, 0.9680979251861572, 4.9978, 3.941523, 
0, 0.9660007953643799, 4.9978, 3.941538, 
0, 0.9699807167053223, 4.9978, 3.941627, 
0, 0.9852321147918701, 4.9978, 3.941671, 
0, 0.967766284942627, 4.9978, 3.94173, 
0, 0.9796760082244873, 4.9978, 3.94173, 
0, 0.9632434844970703, 4.9978, 3.941789, 
0, 0.9650816917419434, 4.9978, 3.941834, 
0, 0.9620022773742676, 4.9978, 3.941893, 
0, 0.9775757789611816, 4.9978, 3.941952, 
0, 0.9674265384674072, 4.9978, 3.941952, 
0, 0.9669969081878662, 4.9978, 3.942055, 
0, 0.9709181785583496, 4.9978, 3.942055, 
0, 0.9680817127227783, 4.9978, 3.942115, 
0, 0.9670023918151855, 4.9978, 3.942144, 
0, 0.9670166969299316, 4.9978, 3.942218, 
0, 0.9676923751831055, 4.9978, 3.942263, 
0, 0.9769940376281738, 4.9978, 3.942307, 
0, 0.9677941799163818, 4.9978, 3.942307, 
0, 0.965418815612793, 4.9978, 3.942366, 
0, 0.9781572818756104, 4.9978, 3.942425, 
0, 0.9666025638580322, 4.9978, 3.94247, 
0, 0.9799022674560547, 4.9978, 3.942514, 
0, 0.969700813293457, 4.9978, 3.942544, 
0, 0.9524781703948975, 4.9978, 3.942588, 
0, 0.9652576446533203, 4.9978, 3.942618, 
0, 0.9650013446807861, 4.9978, 3.942647, 
0, 0.9782874584197998, 4.9978, 3.942691, 
0, 0.9829270839691162, 4.9978, 3.942721, 
0, 0.983759880065918, 4.9978, 3.94278, 
0, 0.9537301063537598, 4.9978, 3.942825, 
