TimeStamp, Time Delta, Input Current, Output Voltage 
0, 0.952606201171875, 14.700989, 4.052915, 
0, 0.980332612991333, 14.700996, 4.05219, 
0, 0.9581329822540283, 14.701005, 4.051642, 
0, 0.9666986465454102, 14.700996, 4.051332, 
0, 0.9525113105773926, 14.701005, 4.050785, 
0, 0.953127384185791, 14.701053, 4.050488, 
0, 0.9665162563323975, 14.700996, 4.049912, 
0, 0.955458402633667, 14.700956, 4.04966, 
0, 0.9663116931915283, 14.700964, 4.049098, 
0, 0.9536876678466797, 14.70094, 4.048832, 
0, 0.9519655704498291, 14.700964, 4.048299, 
0, 0.966806173324585, 14.700956, 4.048033, 
0, 0.9561269283294678, 14.700948, 4.04753, 
0, 0.9641597270965576, 14.701053, 4.046998, 
0, 0.9887151718139648, 14.701029, 4.046761, 
0, 0.9578664302825928, 14.701029, 4.046258, 
0, 0.9536228179931641, 14.70106, 4.046021, 
0, 0.9667627811431885, 14.70102, 4.045504, 
0, 0.9546627998352051, 14.701053, 4.045267, 
0, 0.952641487121582, 14.701093, 4.044764, 
0, 0.9767196178436279, 14.701068, 4.044557, 
0, 0.9669280052185059, 14.701077, 4.044084, 
0, 0.9626400470733643, 14.701084, 4.043595, 
0, 0.9797003269195557, 14.70106, 4.043358, 
0, 0.957801103591919, 14.701109, 4.0429, 
0, 0.9537034034729004, 14.701053, 4.042648, 
0, 0.959632396697998, 14.70106, 4.04219, 
0, 0.9618115425109863, 14.701084, 4.041997, 
0, 0.9667935371398926, 14.701029, 4.041524, 
0, 0.9658384323120117, 14.701093, 4.041095, 
0, 0.9532098770141602, 14.70106, 4.040888, 
0, 0.9548940658569336, 14.701101, 4.040474, 
0, 0.9573209285736084, 14.701068, 4.040267, 
0, 0.9668111801147461, 14.701044, 4.039808, 
0, 0.9669039249420166, 14.701101, 4.039645, 
0, 0.9776465892791748, 14.701093, 4.039231, 
0, 0.9573526382446289, 14.701029, 4.03901, 
0, 0.9537889957427979, 14.700972, 4.03858, 
0, 0.9520761966705322, 14.701044, 4.038388, 
0, 0.9660415649414062, 14.701029, 4.037974, 
0, 0.9641036987304688, 14.700996, 4.037604, 
0, 0.9656171798706055, 14.70106, 4.037397, 
0, 0.9526646137237549, 14.701053, 4.036983, 
0, 0.9526424407958984, 14.701077, 4.03679, 
0, 0.9670133590698242, 14.701117, 4.03645, 
0, 0.9671721458435059, 14.701101, 4.036243, 
0, 0.9691081047058105, 14.701077, 4.035873, 
0, 0.9569723606109619, 14.701029, 4.035681, 
0, 0.9533908367156982, 14.70102, 4.035326, 
0, 0.9800541400909424, 14.701005, 4.035134, 
0, 0.9576897621154785, 14.70098, 4.034779, 
0, 0.9655776023864746, 14.700972, 4.034409, 
0, 0.9540214538574219, 14.700989, 4.034246, 
0, 0.9530313014984131, 14.70098, 4.033891, 
0, 0.9654574394226074, 14.700996, 4.033728, 
0, 0.98508620262146, 14.70102, 4.033358, 
0, 0.9564027786254883, 14.701013, 4.033181, 
0, 0.9669129848480225, 14.701044, 4.03287, 
0, 0.9662280082702637, 14.70094, 4.032678, 
0, 0.9585177898406982, 14.70102, 4.032323, 
0, 0.9517228603363037, 14.701036, 4.031997, 
0, 0.9662199020385742, 14.701029, 4.03179, 
0, 0.9534463882446289, 14.700989, 4.031465, 
0, 0.9559633731842041, 14.700972, 4.031302, 
0, 0.9539003372192383, 14.701053, 4.030992, 
0, 0.9533371925354004, 14.701036, 4.030829, 
0, 0.9667468070983887, 14.701101, 4.030518, 
0, 0.9558475017547607, 14.701101, 4.03037, 
0, 0.9527425765991211, 14.70102, 4.03006, 
0, 0.9804401397705078, 14.701029, 4.029882, 
0, 0.985968828201294, 14.701013, 4.029571, 
0, 0.9657135009765625, 14.701013, 4.029231, 
0, 0.9574775695800781, 14.701005, 4.029083, 
0, 0.966742753982544, 14.700989, 4.028802, 
0, 0.9655210971832275, 14.70102, 4.028625, 
