outVTerm,outSOC
4.010281,0.982775714735528
4.010192,0.982695625152843
4.01,0.982615874159006
4.009911,0.982534850935885
4.009763,0.982454409300305
4.009556,0.982373854292829
4.009468,0.982293299148364
4.00929,0.982213921802256
4.009231,0.982134458967714
4.008979,0.982054656680928
4.008876,0.981975215679568
4.008698,0.981895072332005
4.00861,0.98181523709823
4.008447,0.981735610029151
4.008344,0.981654190213902
4.008181,0.981574213232198
4.008003,0.981494794139513
4.007899,0.981414299189523
4.007737,0.981333787241511
4.007663,0.981253332535471
4.0075,0.981172987334451
4.007396,0.981092435815878
4.007234,0.981011848299094
4.00716,0.980932227899006
4.006997,0.980852844361551
4.006908,0.980773477723634
4.006731,0.980693869400766
4.006553,0.980614525007228
4.00645,0.980535042936115
4.006287,0.980454457473429
