TimeStamp, Time Delta, Input Current, Output Voltage 
0,0.965231419,14.701044,4.01898
0,0.96462369,14.701077,4.018861
0,0.956759453,14.701093,4.01861
0,0.952641487,14.701093,4.018506
0,0.967500687,14.70106,4.018255
0,0.954387188,14.70102,4.018151
0,0.953267336,14.70098,4.017929
0,0.953588724,14.700964,4.017663
0,0.966912508,14.701005,4.017574
0,0.956046581,14.700996,4.017352
0,0.967009783,14.700964,4.017204
0,0.952326059,14.701029,4.016997
0,0.952699423,14.701013,4.016864
0,0.956881762,14.701013,4.016627
0,0.961960316,14.70102,4.016539
0,0.957587242,14.70102,4.016317
0,0.970857382,14.701013,4.016228
0,0.963609934,14.700964,4.016006
0,0.956528902,14.700964,4.015814
0,0.952524662,14.701005,4.015666
0,0.956261873,14.701068,4.015488
0,0.965444803,14.701077,4.01537
0,0.965240955,14.701013,4.015119
0,0.956048012,14.701029,4.015
0,0.954875231,14.701053,4.014822
0,0.95233345,14.70102,4.014719
0,0.953387022,14.700989,4.014512
0,0.971896648,14.701044,4.014394
0,0.965847015,14.701036,4.014172
0,0.952533007,14.700924,4.01395
0,0.953014135,14.701005,4.013861
0,0.953246355,14.700989,4.013654
0,0.953691959,14.700989,4.01355
0,0.966128826,14.701005,4.013329
0,0.993671179,14.70102,4.013225
0,0.959203482,14.70102,4.013048
0,0.974024057,14.70098,4.012929
0,0.965266466,14.700989,4.012737
0,0.95403862,14.700948,4.012515
0,0.952431917,14.700924,4.012412
0,0.957174063,14.700972,4.012204
0,0.96336174,14.700964,4.012115
0,0.952763319,14.701029,4.011923
0,0.955727816,14.70098,4.011849
0,0.96353507,14.70098,4.011642
0,0.954801321,14.700972,4.011569
0,0.965023279,14.70098,4.011376
0,0.967086315,14.701013,4.011109
0,0.963249922,14.701013,4.011036
0,0.98576951,14.701036,4.010843
0,0.961814642,14.701053,4.010769
0,0.956228971,14.701068,4.010577
0,0.95255518,14.70106,4.010489
0,0.958270788,14.701036,4.010281
0,0.96100831,14.70102,4.010192
0,0.956947088,14.700996,4.01
0,0.972213268,14.700989,4.009911
0,0.965237379,14.700948,4.009763
0,0.96659565,14.70098,4.009556
0,0.96659565,14.701005,4.009468
0,0.952461481,14.701029,4.00929
0,0.953488827,14.701005,4.009231
0,0.957558393,14.70106,4.008979
0,0.953226328,14.701013,4.008876
0,0.961654425,14.701005,4.008698
0,0.957956791,14.701013,4.00861
0,0.955456972,14.701044,4.008447
0,0.976967335,14.70106,4.008344
0,0.959657192,14.70102,4.008181
0,0.952964544,14.700996,4.008003
0,0.965873957,14.700996,4.007899
0,0.966077328,14.701005,4.007737
0,0.965392113,14.70098,4.007663
0,0.964078665,14.700972,4.0075
0,0.966552734,14.700996,4.007396
0,0.966980934,14.701053,4.007234
0,0.95537591,14.70106,4.00716
0,0.952533245,14.701068,4.006997
0,0.95233202,14.701044,4.006908
0,0.955230474,14.701068,4.006731
0,0.952061415,14.701101,4.006553
0,0.953715563,14.701068,4.00645
0,0.966954708,14.701077,4.006287
0,0.976157427,14.701068,4.006228
0,0.963420391,14.701093,4.006035
0,0.952682972,14.701029,4.005991
0,0.955258369,14.701077,4.005814
0,0.965192318,14.701053,4.00574
0,0.952768087,14.701093,4.005607
0,0.972748518,14.701101,4.005517
0,0.966489792,14.701093,4.005325
0,0.954714537,14.701077,4.005177
0,0.964318275,14.701044,4.005104
0,0.965435982,14.701149,4.004941
0,0.953318596,14.701133,4.004867
0,0.960625887,14.701053,4.004674
0,0.991936445,14.701044,4.00463
0,0.960791588,14.70106,4.004452
0,0.972402811,14.701013,4.004364
0,0.959516048,14.701013,4.004231
0,0.966969013,14.700989,4.004083
0,1.001197577,14.701068,4.003979
0,0.957803488,14.70102,4.003802
0,0.967080593,14.701013,4.003743
0,0.966074467,14.70094,4.003565
0,0.955846786,14.700964,4.003506
0,0.951345205,14.701013,4.003388
0,0.963296652,14.70102,4.003299
0,0.961639166,14.701005,4.003136
0,0.9533391,14.70098,4.002988
0,0.967464924,14.700933,4.002914
0,0.966470003,14.700956,4.002737
0,0.966910362,14.700956,4.002648
0,0.983496904,14.700964,4.0025
0,0.957099438,14.700996,4.00244
0,0.964971066,14.701029,4.002278
0,0.968320608,14.701068,4.002219
0,0.953645229,14.701053,4.002071
0,0.966088057,14.70102,4.001923
0,0.989483595,14.701044,4.001834
0,0.955308199,14.701036,4.001701
0,0.954605103,14.701044,4.001627
0,0.967700005,14.701044,4.001464
0,0.953477383,14.701084,4.001376
0,0.95375371,14.701109,4.001243
0,0.976804972,14.701053,4.001154
0,0.957927227,14.701029,4.001036
0,0.955310822,14.701068,4.000873
0,0.952573061,14.701093,4.000799
0,0.963813782,14.701053,4.000651
0,0.959824562,14.701013,4.000577
0,0.967034578,14.701068,4.000444
0,0.954142332,14.701068,4.000384
0,0.967304468,14.70106,4.000251
0,0.966799021,14.701044,4.000163
0,0.984018326,14.701077,4.000015
0,0.958201885,14.701053,3.999837
0,0.967387915,14.701053,3.999793
0,0.95366621,14.701029,3.999645
0,0.951995373,14.700996,3.999571
0,0.953288794,14.701036,3.999423
0,0.966578245,14.701053,3.999393
0,0.966291904,14.701109,3.999216
0,0.952746153,14.70106,3.999172
0,0.955861092,14.700989,3.999023
0,0.98410368,14.701044,3.998935
0,0.99466753,14.701044,3.998816
0,0.963206291,14.701068,3.998698
0,0.967691422,14.701068,3.99861
0,0.952620268,14.70098,3.998477
0,0.966679573,14.700989,3.998417
0,0.954961777,14.701036,3.998299
0,0.966034651,14.701005,3.998225
0,0.965136528,14.701068,3.998092
0,0.953901529,14.701036,3.998017
0,0.962581158,14.701068,3.997884
0,0.963519812,14.701036,3.99784
0,0.965377331,14.70106,3.997677
0,0.979977608,14.701005,3.997633
0,0.956135035,14.700989,3.99747
0,0.962558031,14.700996,3.997352
0,0.966184855,14.701029,3.997278
0,0.966765642,14.700989,3.997145
0,0.953296423,14.700996,3.997071
0,0.966700077,14.70094,3.996968
0,0.956251383,14.700933,3.996893
0,0.96698761,14.700948,3.99676
0,0.976739883,14.700933,3.996671
0,0.962411165,14.70098,3.996553
0,0.952846766,14.700989,3.996494
0,0.975174189,14.70102,3.996361
